epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1748.41,1.16465,0.92147,1.39109,0.8825,0.80996,0.88098,0.58133,1.24873,1.14496,1.75261,0.000911,0.000911,0.000911
57,1775.13,1.12692,0.93366,1.35769,0.87735,0.80392,0.89911,0.59031,1.21384,1.1847,1.74571,0.0008912,0.0008912,0.0008912
58,1801.33,1.15291,0.9176,1.39355,0.86495,0.81633,0.89866,0.57141,1.21786,1.12895,1.75007,0.0008714,0.0008714,0.0008714
59,1827.07,1.13137,0.91583,1.38832,0.79977,0.86152,0.89909,0.58416,1.22148,1.12407,1.67272,0.0008516,0.0008516,0.0008516
60,1852.55,1.12974,0.89545,1.36765,0.84744,0.82353,0.88519,0.56816,1.16794,1.11224,1.68073,0.0008318,0.0008318,0.0008318
61,1880.28,1.11107,0.90002,1.36818,0.8518,0.83333,0.88604,0.58155,1.16633,1.30635,1.70333,0.000812,0.000812,0.000812
62,1911.16,1.15569,0.90935,1.40666,0.87527,0.82558,0.89945,0.58114,1.17415,1.24704,1.65803,0.0007922,0.0007922,0.0007922
63,1939.37,1.12323,0.8844,1.3717,0.8539,0.85952,0.91176,0.59661,1.18593,0.93678,1.72244,0.0007724,0.0007724,0.0007724
64,1966.21,1.12186,0.86403,1.3622,0.88518,0.84314,0.90207,0.56195,1.2013,1.22212,1.71909,0.0007526,0.0007526,0.0007526
65,1996.18,1.0911,0.82788,1.3339,0.83376,0.91176,0.90728,0.58561,1.20073,1.14348,1.70661,0.0007328,0.0007328,0.0007328
66,2022.3,1.09695,0.83526,1.34941,0.85949,0.83959,0.89849,0.59009,1.20044,1.01964,1.73819,0.000713,0.000713,0.000713
67,2047.83,1.09348,0.87335,1.34126,0.88306,0.88235,0.92004,0.60582,1.16326,0.96343,1.68906,0.0006932,0.0006932,0.0006932
68,2074.17,1.09034,0.80773,1.34768,0.89664,0.85047,0.90277,0.60135,1.16688,1.09269,1.69265,0.0006734,0.0006734,0.0006734
69,2099.72,1.04828,0.82528,1.32516,0.85739,0.88413,0.90131,0.59074,1.19596,1.06282,1.71743,0.0006536,0.0006536,0.0006536
70,2125.55,1.0459,0.81455,1.3071,0.8933,0.84314,0.90283,0.58871,1.20068,1.07331,1.71202,0.0006338,0.0006338,0.0006338
71,2151.14,1.02496,0.80343,1.31291,0.86686,0.82981,0.89264,0.5977,1.18157,1.09711,1.68582,0.000614,0.000614,0.000614
72,2177.33,1.06213,0.80742,1.33128,0.86141,0.85309,0.90567,0.59429,1.21401,1.0867,1.72445,0.0005942,0.0005942,0.0005942
73,2203.84,1.05039,0.81926,1.33091,0.87655,0.83533,0.88599,0.57933,1.27359,1.16829,1.79707,0.0005744,0.0005744,0.0005744
74,2231.77,1.03677,0.77572,1.31859,0.88553,0.83424,0.89759,0.59019,1.20298,1.03252,1.74323,0.0005546,0.0005546,0.0005546
75,2257.86,1.00395,0.77942,1.28868,0.82127,0.85294,0.89135,0.584,1.17808,1.25947,1.72286,0.0005348,0.0005348,0.0005348
76,2283.7,1.00536,0.78399,1.29514,0.91574,0.85236,0.93681,0.6064,1.12531,1.09904,1.6802,0.000515,0.000515,0.000515
77,2313.62,1.01303,0.77027,1.2962,0.90521,0.84266,0.9312,0.60187,1.18481,1.12238,1.69247,0.0004952,0.0004952,0.0004952
78,2350.22,1.02303,0.79854,1.2973,0.89631,0.84314,0.91302,0.60569,1.14577,1.00812,1.69204,0.0004754,0.0004754,0.0004754
79,2391.02,0.98964,0.7531,1.27974,0.88928,0.83333,0.91698,0.59745,1.20345,1.21129,1.73151,0.0004556,0.0004556,0.0004556
80,2427.7,0.98824,0.75152,1.26654,0.85937,0.87255,0.91525,0.61064,1.12313,0.99213,1.66394,0.0004358,0.0004358,0.0004358
81,2463.95,0.93169,0.70688,1.21994,0.926,0.84314,0.91946,0.62041,1.11587,0.92034,1.65514,0.000416,0.000416,0.000416
82,2492.93,0.95635,0.77013,1.25727,0.89759,0.85927,0.91151,0.59672,1.14472,1.00963,1.69435,0.0003962,0.0003962,0.0003962
83,2519.66,0.96619,0.72503,1.26532,0.88314,0.89216,0.92113,0.61639,1.15951,0.92098,1.68209,0.0003764,0.0003764,0.0003764
84,2547.59,0.95903,0.72961,1.26705,0.90853,0.87643,0.92767,0.6315,1.11962,0.94764,1.66535,0.0003566,0.0003566,0.0003566
85,2577.58,0.94224,0.71455,1.24995,0.8928,0.87255,0.93463,0.62708,1.15262,0.96682,1.68415,0.0003368,0.0003368,0.0003368
86,2615.49,0.94438,0.70194,1.24704,0.88345,0.89181,0.93277,0.61727,1.12459,0.94172,1.68522,0.000317,0.000317,0.000317
87,2652.49,0.94297,0.7146,1.24739,0.81691,0.9186,0.92624,0.61802,1.13878,0.99016,1.68758,0.0002972,0.0002972,0.0002972
88,2689.89,0.91048,0.68061,1.22409,0.89965,0.87894,0.92484,0.61843,1.18503,1.00819,1.70878,0.0002774,0.0002774,0.0002774
89,2736.5,0.9202,0.71353,1.24606,0.91701,0.86671,0.92655,0.62101,1.20331,1.07673,1.72409,0.0002576,0.0002576,0.0002576
90,2786.39,0.89459,0.67076,1.20447,0.92691,0.86275,0.93333,0.62144,1.19204,0.99456,1.72951,0.0002378,0.0002378,0.0002378
91,2866.22,0.87097,0.6046,1.24039,0.92717,0.84314,0.92262,0.62148,1.14546,1.01667,1.71363,0.000218,0.000218,0.000218
92,2905.08,0.82721,0.56792,1.22379,0.88653,0.87255,0.92715,0.62047,1.1229,0.95879,1.68679,0.0001982,0.0001982,0.0001982
93,2947.56,0.8672,0.61029,1.23837,0.94436,0.87255,0.93148,0.61237,1.10393,0.98864,1.70227,0.0001784,0.0001784,0.0001784
94,2976.43,0.81223,0.56119,1.20859,0.93683,0.87231,0.92838,0.62077,1.1354,0.99853,1.73174,0.0001586,0.0001586,0.0001586
95,3006.49,0.81637,0.54601,1.21525,0.94231,0.90196,0.94032,0.62902,1.13394,0.99446,1.72944,0.0001388,0.0001388,0.0001388
96,3034.32,0.7823,0.54804,1.17537,0.92727,0.87503,0.93951,0.62534,1.14232,0.98213,1.71679,0.000119,0.000119,0.000119
97,3068.41,0.78933,0.53898,1.18894,0.91885,0.88235,0.93931,0.63036,1.15065,0.97329,1.70712,9.92e-05,9.92e-05,9.92e-05
98,3098.72,0.80684,0.52704,1.19393,0.89096,0.92157,0.939,0.63347,1.11927,1.0085,1.69578,7.94e-05,7.94e-05,7.94e-05
99,3141.87,0.79849,0.5693,1.20276,0.90169,0.92157,0.94076,0.63316,1.12044,1.012,1.70632,5.96e-05,5.96e-05,5.96e-05
100,3176.82,0.76928,0.52898,1.17419,0.91864,0.88563,0.94153,0.6338,1.12168,0.99375,1.69353,3.98e-05,3.98e-05,3.98e-05
